rank,username,digg_profile_username,display_name,role,cohort,tech_ranked_followers,gravity,score,followers_count,bio,x_id,github_url,previous_rank,rank_change,category_rank,category_confidence,vibe_distribution,vibe_tweet_count,is_new_entrant,is_emerging_startup,emerging_reasoning,classification_tldr,cohort_rank,digg_url,x_url
182,rasbt,rasbt,Sebastian Raschka,Research Engineer,ai,255,3.364,255,469850,"ML/AI research engineer. Ex stats professor.
Author of ""Build a Large Language Model From Scratch"" (https://amzn.to/4fqvn0D) & reasoning (https://m...",865622395,https://github.com/rasbt,167,-15,23,7.5,"{'troll': 0, 'banter': 0.9, 'hopeful': 8.7, 'humorous': 7.1, 'teaching': 17.9, 'combative': 0, 'informing': 33.5, 'announcing': 20.8, 'supportive': 7.9, 'provocative': 2, 'devils_advocate': 1.3}",199,False,False,,,125,https://digg.com/u/x/rasbt,https://x.com/rasbt
183,goodside,goodside,Riley Goodside,Engineer,tech,254,3.351,254,215059,"Mostly screenshots of chatbots since 2022.
Formerly: Google DeepMind, Scale.",16535432,https://github.com/goodside,129,-54,2,7.5,"{'troll': 0, 'banter': 0.6, 'hopeful': 2.8, 'humorous': 15.9, 'teaching': 18.2, 'combative': 0, 'informing': 38.2, 'announcing': 11.6, 'supportive': 4.3, 'provocative': 7.6, 'devils_advocate': 0.9}",200,False,False,,,58,https://digg.com/u/x/goodside,https://x.com/goodside
184,emollick,emollick,Ethan Mollick,Academic,tech,254,3.351,254,363971,"Professor @Wharton studying AI, innovation & startups. Democratizing education using tech
Book: https://a.co/d/4VguzZz
Substack: https://www.oneuse...",39125788,https://github.com/emollick,181,-3,53,8,"{'troll': 0.1, 'banter': 1.4, 'hopeful': 7.6, 'humorous': 11, 'teaching': 18.3, 'combative': 0.2, 'informing': 38.4, 'announcing': 5.8, 'supportive': 4.4, 'provocative': 10.3, 'devils_advocate': 2.7}",200,False,False,,,59,https://digg.com/u/x/emollick,https://x.com/emollick
185,ancadianadragan,ancadianadragan,Anca Dragan,AI Safety,ai,254,3.351,254,13529,"Google DeepMind • AI safety, alignment, collaboration • post training • associate professor @ UC Berkeley EECS",978823301802819584,,217,32,14,8,"{'troll': 0, 'banter': 1.2, 'hopeful': 14.5, 'humorous': 4.7, 'teaching': 10.7, 'combative': 0, 'informing': 23.5, 'announcing': 20.5, 'supportive': 24, 'provocative': 0.8, 'devils_advocate': 0.2}",165,False,False,,,126,https://digg.com/u/x/ancadianadragan,https://x.com/ancadianadragan
186,alex_conneau,alex_conneau,Alexis Conneau,Founder,ai,253,3.338,253,33852,"Co-founder and CEO http://waveforms.ai (@WaveFormsAI) - Ex @OpenAI GPT-4o/AVM Audio Research Lead - #Her #TARS - Ex @AIatMeta, @Polytechnique (X11)",774170436057731073,https://github.com/aconneau,204,18,28,9.5,"{'troll': 0, 'banter': 0.3, 'hopeful': 17.2, 'humorous': 3.2, 'teaching': 14.4, 'combative': 0, 'informing': 28, 'announcing': 22.9, 'supportive': 12.1, 'provocative': 1.7, 'devils_advocate': 0.1}",143,False,False,,,127,https://digg.com/u/x/alex_conneau,https://x.com/alex_conneau
187,tydsh,tydsh,Yuandong Tian,Founder,ai,252,3.325,252,44477,"Co-founder of @Recursive_SI. ex-Meta FAIR Director. ex-Google. Reasoning, Optimization and Understanding LLM. Novelist in spare time. PhD in @CMU_R...",97939183,https://github.com/yuandong-tian,165,-22,29,7.5,"{'troll': 0, 'banter': 0.3, 'hopeful': 12.7, 'humorous': 4.4, 'teaching': 15.6, 'combative': 0.4, 'informing': 16.7, 'announcing': 22.7, 'supportive': 19.6, 'provocative': 4.8, 'devils_advocate': 3}",200,False,False,,,128,https://digg.com/u/x/tydsh,https://x.com/tydsh
188,bobmcgrewai,bobmcgrewai,Bob McGrew,Research Engineer,tech,251,3.311,251,34045,"Learning new things.

Former Chief Research Officer at OpenAI, early exec at Palantir, early employee at Paypal.",1010741757917532161,https://github.com/bmcgrew,232,44,24,8,"{'troll': 0, 'banter': 0.8, 'hopeful': 15.1, 'humorous': 2.6, 'teaching': 16.6, 'combative': 0, 'informing': 26.7, 'announcing': 12.4, 'supportive': 19.4, 'provocative': 5.1, 'devils_advocate': 1.1}",135,False,False,,,60,https://digg.com/u/x/bobmcgrewai,https://x.com/bobmcgrewai
189,rown,rown,Rowan Zellers,Research Engineer,ai,251,3.311,251,15369,multimodal @thinkymachines. I also like to climb rocks and throw pottery. http://rowanzellers.com (he/him),17108894,https://github.com/rowanz,174,-15,25,9,"{'troll': 0, 'banter': 0.9, 'hopeful': 12.8, 'humorous': 9, 'teaching': 12.7, 'combative': 0, 'informing': 24.7, 'announcing': 17.9, 'supportive': 16.6, 'provocative': 3.9, 'devils_advocate': 1.5}",170,False,False,,,129,https://digg.com/u/x/rown,https://x.com/rown
190,jack_w_rae,jack_w_rae,Jack Rae,Research Engineer,tech,249,3.285,249,24528,"Distinguished Scientist @ Meta 

LLMs (e.g. Gopher, Chinchilla, Gemini, Muse) 
Compression & RL ☯️ 
Past: Google, OpenAI, Quora",2700292374,,127,-63,26,9,"{'troll': 0, 'banter': 1.6, 'hopeful': 17.2, 'humorous': 14.9, 'teaching': 8.5, 'combative': 0.1, 'informing': 23.2, 'announcing': 16.5, 'supportive': 12.9, 'provocative': 4.3, 'devils_advocate': 1.1}",200,False,False,,,61,https://digg.com/u/x/jack_w_rae,https://x.com/jack_w_rae
191,tomgoldsteincs,tomgoldsteincs,Tom Goldstein,Academic,ai,248,3.272,248,27818,"Professor at UMD. AI security & privacy, algorithmic bias, foundations of ML.
Follow me for commentary on state-of-the-art AI.",1086729872305766401,https://github.com/tomgoldstein,177,-14,54,8.5,"{'troll': 0, 'banter': 0.2, 'hopeful': 4.3, 'humorous': 6.8, 'teaching': 30.3, 'combative': 0, 'informing': 35.7, 'announcing': 10.1, 'supportive': 5.5, 'provocative': 5.6, 'devils_advocate': 1.6}",200,False,False,,,130,https://digg.com/u/x/tomgoldsteincs,https://x.com/tomgoldsteincs
192,DavidSacks,davidsacks,David Sacks,Politician,tech,248,3.272,248,1585884,"Tech founder & investor @Craft_Ventures @theallinpod. Co-Chair, President’s Council of Advisers on Science & Technology.",1137701,,544,352,2,6.5,{},0,False,False,,,62,https://digg.com/u/x/davidsacks,https://x.com/DavidSacks
193,erichorvitz,erichorvitz,Eric Horvitz,Executive,ai,248,3.272,248,31505,"Chief Scientific Officer, Microsoft",264501255,https://github.com/erichorvitz,191,-2,8,8.2,"{'troll': 0, 'banter': 0.4, 'hopeful': 18.3, 'humorous': 0.5, 'teaching': 8.3, 'combative': 0, 'informing': 34.4, 'announcing': 20.3, 'supportive': 15.1, 'provocative': 2.4, 'devils_advocate': 0.6}",200,False,False,,,131,https://digg.com/u/x/erichorvitz,https://x.com/erichorvitz
194,naval,naval,Naval,Investor,tech,248,3.272,248,3544764,Incompressible,745273,,400,206,8,7.5,"{'troll': 0, 'banter': 0.1, 'hopeful': 8.7, 'humorous': 1.8, 'teaching': 37.8, 'combative': 0.3, 'informing': 19.4, 'announcing': 5.9, 'supportive': 2.6, 'provocative': 22.9, 'devils_advocate': 0.6}",198,False,False,,,63,https://digg.com/u/x/naval,https://x.com/naval
195,levie,levie,Aaron Levie,Founder,tech,248,3.272,248,2986763,ceo @box - your business lives in content. unleash it with AI,914061,,528,333,30,9.5,"{'troll': 0, 'banter': 0.3, 'hopeful': 27.4, 'humorous': 1.6, 'teaching': 29.4, 'combative': 0, 'informing': 23.1, 'announcing': 6.1, 'supportive': 2.1, 'provocative': 7.3, 'devils_advocate': 2.8}",200,False,False,,,64,https://digg.com/u/x/levie,https://x.com/levie
196,denny_zhou,denny_zhou,Denny Zhou,Researcher,ai,247,3.259,247,38691,Build LLM to reason,1651242848,https://github.com/dennyzhou,153,-43,35,9,"{'troll': 0, 'banter': 0.7, 'hopeful': 9.9, 'humorous': 7.6, 'teaching': 20.8, 'combative': 0, 'informing': 25.5, 'announcing': 10.4, 'supportive': 10.9, 'provocative': 13.1, 'devils_advocate': 1.2}",200,False,False,,,132,https://digg.com/u/x/denny_zhou,https://x.com/denny_zhou
197,thegautamkamath,thegautamkamath,Gautam Kamath,Academic,ai,247,3.259,247,64719,"Assistant Prof of CS @UWaterloo, Faculty @VectorInst, Canada @CIFAR_News AI Chair. Joining @NYU_Courant Fall 2026. Co-EiC @TmlrOrg. I lead @TheSalo...",97707247,https://github.com/hoonose,221,24,55,9,"{'troll': 0.1, 'banter': 1.2, 'hopeful': 6.7, 'humorous': 11.1, 'teaching': 9.9, 'combative': 0.4, 'informing': 31.4, 'announcing': 18.1, 'supportive': 12.7, 'provocative': 7.8, 'devils_advocate': 0.6}",170,False,False,,,133,https://digg.com/u/x/thegautamkamath,https://x.com/thegautamkamath
198,leopoldasch,leopoldasch,Leopold Aschenbrenner,Investor,tech,246,3.245,246,233230,http://situational-awareness.ai,2989966781,https://github.com/leopoldaschenbrenner,224,26,9,8,"{'troll': 0, 'banter': 0.6, 'hopeful': 15.8, 'humorous': 2.8, 'teaching': 15.5, 'combative': 0, 'informing': 36.3, 'announcing': 11.1, 'supportive': 7.8, 'provocative': 8.9, 'devils_advocate': 1.3}",200,False,False,,,65,https://digg.com/u/x/leopoldasch,https://x.com/leopoldasch
199,cHHillee,chhillee,Horace He,Research Engineer,tech,245,3.232,245,50738,"@thinkymachines Formerly @PyTorch ""My learning style is Horace twitter threads"" - @typedfemale",117233133,https://github.com/chillee,109,-90,27,7.5,"{'troll': 0, 'banter': 1.3, 'hopeful': 6.7, 'humorous': 6.7, 'teaching': 22.7, 'combative': 0, 'informing': 33.4, 'announcing': 11.5, 'supportive': 11.7, 'provocative': 4.2, 'devils_advocate': 1.9}",179,False,False,,,66,https://digg.com/u/x/chhillee,https://x.com/cHHillee
200,lateinteraction,lateinteraction,Omar Khattab,Academic,ai,245,3.232,245,36202,"asst professor @MIT CSAIL @nlp_mit.

http://ColBERT.ai, http://DSPy.ai (@DSPyOSS), GEPA, RLMs, Pedagogical RL",1605274291569799168,https://github.com/okhat,166,-34,56,9,"{'troll': 0.1, 'banter': 4.3, 'hopeful': 11.9, 'humorous': 13.9, 'teaching': 16.9, 'combative': 0.8, 'informing': 19.1, 'announcing': 9, 'supportive': 10.1, 'provocative': 12.3, 'devils_advocate': 1.6}",200,False,False,,,134,https://digg.com/u/x/lateinteraction,https://x.com/lateinteraction
201,simonw,simonw,Simon Willison,Open Source,tech,244,3.219,244,194172,"Creator @datasetteproj, co-creator Django. PSF board. Hangs out with @natbat. He/Him. Mastodon: https://fedi.simonwillison.net/@simon Bsky: http://...",12497,https://github.com/simonw,197,-4,3,7.5,"{'troll': 0, 'banter': 0.8, 'hopeful': 5.5, 'humorous': 9.6, 'teaching': 16.2, 'combative': 0, 'informing': 39, 'announcing': 13.7, 'supportive': 5.8, 'provocative': 8.5, 'devils_advocate': 1.1}",200,False,False,,,67,https://digg.com/u/x/simonw,https://x.com/simonw
202,mmbronstein,mmbronstein,Michael Bronstein,Academic,ai,243,3.206,243,58089,#DeepMind Professor of #AI @UniofOxford / Director #AITHYRA / Chief Scientist @proximabio / https://michael-bronstein.medium.com (opinions are mine...,62044012,,208,6,57,8,"{'troll': 0, 'banter': 1.7, 'hopeful': 5.9, 'humorous': 16, 'teaching': 3.5, 'combative': 0.7, 'informing': 28.7, 'announcing': 33.2, 'supportive': 6, 'provocative': 4, 'devils_advocate': 0.4}",159,False,False,,,135,https://digg.com/u/x/mmbronstein,https://x.com/mmbronstein
203,lmthang,lmthang,Thang Luong,Researcher,ai,242,3.193,242,30539,"Director, lead Superhuman Reasoning @GoogleDeepMind. AI IMO Gold. Co-led #Aletheia, #DeepThink, #AlphaGeometry, #Bard (now Gemini) Multimodality, #...",18027886,https://github.com/lmthang,202,-1,36,8.5,"{'troll': 0, 'banter': 0.6, 'hopeful': 16.5, 'humorous': 2.6, 'teaching': 8.6, 'combative': 0, 'informing': 31.9, 'announcing': 25.6, 'supportive': 13.8, 'provocative': 0.3, 'devils_advocate': 0.1}",157,False,False,,,136,https://digg.com/u/x/lmthang,https://x.com/lmthang
204,earnmyturns,earnmyturns,Fernando Pereira,Executive,ai,242,3.193,242,18655,"Google VP & Engineering Fellow; former Penn professor; ML/NLP researcher; fanatic skier; he/him.
Also @earnmyturns at http://post.news",197313522,,229,25,9,7.5,"{'troll': 0, 'banter': 1.7, 'hopeful': 8.1, 'humorous': 7.1, 'teaching': 11, 'combative': 0.4, 'informing': 34.2, 'announcing': 17, 'supportive': 14.4, 'provocative': 4.9, 'devils_advocate': 1.2}",200,False,False,,,137,https://digg.com/u/x/earnmyturns,https://x.com/earnmyturns
205,danielgross,danielgross,Daniel Gross,Founder,tech,242,3.193,242,229782,,38190583,https://github.com/danielgross,287,82,31,7.5,"{'troll': 0, 'banter': 0.4, 'hopeful': 11.8, 'humorous': 7.8, 'teaching': 11.5, 'combative': 0.2, 'informing': 27, 'announcing': 15.4, 'supportive': 9.9, 'provocative': 12.8, 'devils_advocate': 3.1}",179,False,False,,,68,https://digg.com/u/x/danielgross,https://x.com/danielgross
206,tatsu_hashimoto,tatsu_hashimoto,Tatsunori Hashimoto,Academic,ai,240,3.166,240,10800,"Assistant Prof at Stanford CS, member of @stanfordnlp and statsml groups; Formerly at Microsoft / postdoc at Stanford CS / Stats.",1118495199863476225,https://github.com/thashim,234,28,58,9,"{'troll': 0, 'banter': 0, 'hopeful': 11.6, 'humorous': 4.8, 'teaching': 16.2, 'combative': 0, 'informing': 36.6, 'announcing': 15.5, 'supportive': 14.9, 'provocative': 0, 'devils_advocate': 0.5}",41,False,False,,,138,https://digg.com/u/x/tatsu_hashimoto,https://x.com/tatsu_hashimoto
207,DavidSKrueger,davidskrueger,David Krueger 🦥 ⏸️ ⏹️ ⏪,AI Safety,ai,240,3.166,240,22116,"Raising AI risk awareness at http://evitable.com

AI prof at Mila.
Formerly Cambridge, DeepMind, UK AISI.

http://therealartificialintelligence.sub...",412677577,https://github.com/capybaralet,214,7,15,7.5,"{'troll': 0.1, 'banter': 2.8, 'hopeful': 5.9, 'humorous': 7.2, 'teaching': 10, 'combative': 4.6, 'informing': 23.1, 'announcing': 14.3, 'supportive': 11.3, 'provocative': 18.2, 'devils_advocate': 2.7}",179,False,False,,,139,https://digg.com/u/x/davidskrueger,https://x.com/DavidSKrueger
208,mohitban47,mohitban47,Mohit Bansal,Academic,ai,240,3.166,240,11818,Parker Distinguished Prof @UNC. PECASE/ACL/AAAI Fellow. Director http://MURGeLab.cs.unc.edu (@unc_ai_group). Past @Berkeley_AI @TTIC_Connect @IITKa...,830355049,,258,50,59,,"{'troll': 0, 'banter': 0.1, 'hopeful': 7.8, 'humorous': 0.1, 'teaching': 5.5, 'combative': 0, 'informing': 37.4, 'announcing': 32.3, 'supportive': 16.2, 'provocative': 0.6, 'devils_advocate': 0}",102,False,False,,,140,https://digg.com/u/x/mohitban47,https://x.com/mohitban47
209,nlpnoah,nlpnoah,Noah A. Smith,Academic,ai,239,3.153,239,17108,"NLP&ML researcher. Prof @uwcse @uwnlp & helper @allen_ai @ai2_allennlp. Have not been accepting new followers here for some time, please try a bett...",158789494,,246,37,60,9,{},0,False,False,,,141,https://digg.com/u/x/nlpnoah,https://x.com/nlpnoah
210,janexwang,janexwang,Jane Wang,Researcher,ai,239,3.153,239,37455,"Senior staff research scientist at DeepMind. AI and neuro. Former physicist, current human.",22385548,https://github.com/janexwang,244,34,37,9,"{'troll': 0, 'banter': 1.6, 'hopeful': 10.9, 'humorous': 9.2, 'teaching': 16.6, 'combative': 0.4, 'informing': 23.7, 'announcing': 9.7, 'supportive': 16.4, 'provocative': 9.2, 'devils_advocate': 2.5}",200,False,False,,,142,https://digg.com/u/x/janexwang,https://x.com/janexwang
211,collision,collision,John Collison,Founder,tech,239,3.153,239,236092,Co-founder of @stripe.,5418912,https://github.com/collision,634,423,32,7.5,"{'troll': 0, 'banter': 1, 'hopeful': 12, 'humorous': 7.6, 'teaching': 4.6, 'combative': 0, 'informing': 28.9, 'announcing': 34.3, 'supportive': 8.9, 'provocative': 2.3, 'devils_advocate': 0.4}",160,False,False,,,69,https://digg.com/u/x/collision,https://x.com/collision
212,FelixHill84,felixhill84,Felix Hill,Researcher,ai,238,3.14,238,12456,"Research Scientist, Deepmind

I try to think hard about everything I tweet, esp on 90s football and 80s music

None of my opinions are really someo...",173157358,https://github.com/fh295,211,-1,38,9,"{'troll': 0, 'banter': 3.1, 'hopeful': 9.3, 'humorous': 12.8, 'teaching': 25.7, 'combative': 0.2, 'informing': 17.4, 'announcing': 5.7, 'supportive': 16.8, 'provocative': 7.4, 'devils_advocate': 1.8}",200,False,False,,,143,https://digg.com/u/x/felixhill84,https://x.com/FelixHill84
213,DarioAmodei,darioamodei,Dario Amodei,Founder,tech,238,3.14,238,406292,Anthropic CEO. http://darioamodei.com,874126509245476864,,173,-40,33,9.5,"{'troll': 0, 'banter': 0, 'hopeful': 20.4, 'humorous': 0, 'teaching': 6.2, 'combative': 0, 'informing': 28.8, 'announcing': 40, 'supportive': 3.1, 'provocative': 1.5, 'devils_advocate': 0}",13,False,False,,,70,https://digg.com/u/x/darioamodei,https://x.com/DarioAmodei
214,riedelcastro,riedelcastro,Sebastian Riedel (@riedelcastro@sigmoid.social),Researcher,ai,237,3.127,237,16325,"Researcher in NLP/ML @deepmind, @ucl_nlp, @riedelcastro@sigmoid.social on Mastodon",76080258,https://github.com/riedelcastro,227,13,39,9.2,"{'troll': 0, 'banter': 3.5, 'hopeful': 13.9, 'humorous': 11.7, 'teaching': 9.3, 'combative': 0, 'informing': 16.2, 'announcing': 13.1, 'supportive': 26.7, 'provocative': 3.9, 'devils_advocate': 1.6}",89,False,False,,,144,https://digg.com/u/x/riedelcastro,https://x.com/riedelcastro
215,ChrisGPotts,chrisgpotts,Christopher Potts,Academic,ai,236,3.113,236,15783,"Stanford Professor of Linguistics and, by courtesy, of Computer Science. Member of technical staff @stanfordnlp and @StanfordAILab. Co-founder @ Bi...",408714449,https://github.com/cgpotts,235,20,61,8,"{'troll': 0, 'banter': 1.3, 'hopeful': 6.8, 'humorous': 14.7, 'teaching': 15.1, 'combative': 0, 'informing': 22.1, 'announcing': 13.5, 'supportive': 17.9, 'provocative': 5.8, 'devils_advocate': 2.7}",198,False,False,,,145,https://digg.com/u/x/chrisgpotts,https://x.com/ChrisGPotts
216,scychan_brains,scychan_brains,Stephanie Chan,Researcher,ai,235,3.1,235,7312,Staff Research Scientist at DeepMind. Artificial & biological brains 🤖 🧠  Societal impacts of AI + Science of AI. Views are my own.,1058203824605716481,https://github.com/scychan,231,15,40,9,"{'troll': 0, 'banter': 0.5, 'hopeful': 14, 'humorous': 2.4, 'teaching': 20, 'combative': 0, 'informing': 29.3, 'announcing': 11.6, 'supportive': 18.4, 'provocative': 2.8, 'devils_advocate': 1}",199,False,False,,,146,https://digg.com/u/x/scychan_brains,https://x.com/scychan_brains
217,DimitrisPapail,dimitrispapail,Dimitris Papailiopoulos,Researcher,ai,235,3.1,235,27950,"Researcher @MSFTResearch, AI Frontiers | Prof @UWMadison (on leave) | babas of Inez Lily.",573817445,https://github.com/anadim,203,-14,41,9,"{'troll': 0, 'banter': 3.1, 'hopeful': 13.2, 'humorous': 16, 'teaching': 10.4, 'combative': 0, 'informing': 22.6, 'announcing': 15.9, 'supportive': 9.9, 'provocative': 8.4, 'devils_advocate': 0.6}",199,False,False,,,147,https://digg.com/u/x/dimitrispapail,https://x.com/DimitrisPapail
218,agarwl_,agarwl_,Rishabh Agarwal,Research Engineer,ai,235,3.1,235,22373,"Reinforcement Learner @periodiclabs, Adjunct Prof at McGill. Ex Meta, DeepMind, Brain, @iitbombay. NeurIPS Best Paper, On-Policy Distillation",726727268391878656,https://github.com/agarwl,205,-13,28,8.7,"{'troll': 0, 'banter': 1.9, 'hopeful': 12.2, 'humorous': 7.3, 'teaching': 19.2, 'combative': 0, 'informing': 24.8, 'announcing': 16, 'supportive': 13.2, 'provocative': 4.4, 'devils_advocate': 1.1}",200,False,False,,,148,https://digg.com/u/x/agarwl_,https://x.com/agarwl_
219,lulumeservey,lulumeservey,Lulu Cheng Meservey,Creator,tech,234,3.087,234,139042,"Rostra founder, Shopify board, ex Activision & Substack, writing http://www.getflack.com",3319762895,,525,306,7,7.5,"{'troll': 0.1, 'banter': 2.1, 'hopeful': 5.8, 'humorous': 13.9, 'teaching': 25.8, 'combative': 0.4, 'informing': 20.7, 'announcing': 2.6, 'supportive': 12.4, 'provocative': 16, 'devils_advocate': 0.3}",199,False,False,,,71,https://digg.com/u/x/lulumeservey,https://x.com/lulumeservey
220,tobi,tobi,tobi lutke,Founder,tech,234,3.087,234,476054,"Shopify CEO by day, Dad in evening, hacker at night, Aspiring comprehensivist. 
+ qmd !",676573,https://github.com/tobi,551,331,34,9.5,"{'troll': 0.2, 'banter': 1.6, 'hopeful': 20.3, 'humorous': 9.5, 'teaching': 9.5, 'combative': 1.8, 'informing': 16.4, 'announcing': 12.1, 'supportive': 19.7, 'provocative': 8.2, 'devils_advocate': 0.9}",200,False,False,,,72,https://digg.com/u/x/tobi,https://x.com/tobi
221,kevinweil,kevinweil,Kevin Weil 🇺🇸,Executive,tech,233,3.074,233,121141,"BoD @Cisco @nature_org
LTC @USArmyReserve
Ex CPO+Science @OpenAI, Pres @Planet, Head of Product @Instagram @Twitter
❤️ @elizabeth ultramarathons ki...",3452911,https://github.com/kevinweil,436,215,10,9,"{'troll': 0, 'banter': 2.3, 'hopeful': 25.1, 'humorous': 5.7, 'teaching': 7.5, 'combative': 0, 'informing': 25.2, 'announcing': 15.2, 'supportive': 18.1, 'provocative': 0.9, 'devils_advocate': 0.2}",200,False,False,,,73,https://digg.com/u/x/kevinweil,https://x.com/kevinweil
222,amasad,amasad,Amjad Masad,Founder,tech,232,3.061,232,469217,ceo @replit. civilizationist,166138615,https://github.com/amasad,356,134,35,9.5,"{'troll': 0.1, 'banter': 1.6, 'hopeful': 19.1, 'humorous': 9.9, 'teaching': 6.8, 'combative': 0.6, 'informing': 18.1, 'announcing': 17.7, 'supportive': 18.6, 'provocative': 6.6, 'devils_advocate': 0.9}",199,False,False,,,74,https://digg.com/u/x/amasad,https://x.com/amasad
223,gregd_nlp,gregd_nlp,Greg Durrett,Academic,ai,232,3.061,232,8337,Associate professor at NYU (Courant CS + Center for Data Science) | advisor for @bespokelabsai | large language models and NLP | he/him,938457074278846468,https://github.com/gregdurrett,278,55,62,,"{'troll': 0, 'banter': 0.8, 'hopeful': 10.2, 'humorous': 5, 'teaching': 8.7, 'combative': 0, 'informing': 30.7, 'announcing': 21.6, 'supportive': 19.4, 'provocative': 2.5, 'devils_advocate': 1.2}",198,False,False,,,149,https://digg.com/u/x/gregd_nlp,https://x.com/gregd_nlp
224,_albertgu,_albertgu,Albert Gu,Academic,ai,231,3.047,231,21129,assistant prof @mldcmu. chief scientist @cartesia_ai. leading the ssm revolution.,1076265378118959104,https://github.com/albertfgu,192,-32,63,9,"{'troll': 0, 'banter': 0.9, 'hopeful': 13, 'humorous': 6.5, 'teaching': 21.6, 'combative': 0, 'informing': 26.3, 'announcing': 14.6, 'supportive': 14.8, 'provocative': 1.4, 'devils_advocate': 0.9}",191,False,False,,,150,https://digg.com/u/x/_albertgu,https://x.com/_albertgu
225,swyx,swyx,swyx @aiDotEngineer WF,Creator,tech,231,3.047,231,170752,"achieve ambition with intentionality, intensity, integrity & insanity.

affiliations:
- @dxtipshq 
- @cognition
- @temporalio
- @aidotengineer
- @l...",33521530,https://github.com/swyxio,225,0,8,8.5,"{'troll': 0, 'banter': 3.4, 'hopeful': 8.2, 'humorous': 16.1, 'teaching': 9.4, 'combative': 0.3, 'informing': 22.8, 'announcing': 17.9, 'supportive': 13.6, 'provocative': 8.1, 'devils_advocate': 0.2}",180,False,False,,,75,https://digg.com/u/x/swyx,https://x.com/swyx
226,tallinzen,tallinzen,Tal Linzen,Academic,ai,230,3.034,230,19401,"Professor @nyuling and @NYUDataScience, research scientist @GoogleAI, inventor of the word ""bertology""",34376328,https://github.com/TalLinzen,230,4,64,9,"{'troll': 0, 'banter': 3.8, 'hopeful': 5.3, 'humorous': 20.5, 'teaching': 12.7, 'combative': 0.2, 'informing': 22.7, 'announcing': 10.8, 'supportive': 10.3, 'provocative': 11.2, 'devils_advocate': 2.7}",200,False,False,,,151,https://digg.com/u/x/tallinzen,https://x.com/tallinzen
227,ashVaswani,ashvaswani,Ashish Vaswani,Founder,tech,230,3.034,230,31307,,874887507174981633,,145,-82,36,8.5,"{'troll': 0, 'banter': 0, 'hopeful': 20.9, 'humorous': 0, 'teaching': 7.2, 'combative': 0, 'informing': 19.1, 'announcing': 28.9, 'supportive': 24, 'provocative': 0, 'devils_advocate': 0}",44,False,False,,,76,https://digg.com/u/x/ashvaswani,https://x.com/ashVaswani
228,abeirami,abeirami,Ahmad Beirami,Research Engineer,ai,229,3.021,229,11948,stealth // ex Gemini RL+Inference @GoogleDeepMind // Chat AI @AIatMeta // RL Agents @EA // ML+Information Theory @MIT+@Harvard+@GeorgiaTech,1073974163704958976,https://github.com/beirami,242,14,29,7,"{'troll': 0, 'banter': 1.4, 'hopeful': 5.8, 'humorous': 4.3, 'teaching': 27.2, 'combative': 0.7, 'informing': 26.1, 'announcing': 6.9, 'supportive': 15.6, 'provocative': 10.5, 'devils_advocate': 1.5}",180,False,False,,,152,https://digg.com/u/x/abeirami,https://x.com/abeirami
229,chipro,chipro,Chip Huyen,Creator,ai,229,3.021,229,132516,"@aisysbooks @goodailist
AI Engineering: https://amazon.com/dp/1098166302
Designing MLSys: http://amazon.com/dp/1098107969
Reading @chipslib",15278016,https://github.com/chiphuyen,198,-31,9,8.5,"{'troll': 0.1, 'banter': 1.2, 'hopeful': 6.6, 'humorous': 11, 'teaching': 29.3, 'combative': 0, 'informing': 25.6, 'announcing': 10.6, 'supportive': 6.3, 'provocative': 8.2, 'devils_advocate': 1.2}",196,False,False,,,153,https://digg.com/u/x/chipro,https://x.com/chipro
230,DrYangSong,dryangsong,Yang Song,Researcher,ai,229,3.021,229,15341,Research Principal of MSL,2621989106,https://github.com/yang-song,199,-31,42,9.2,"{'troll': 0, 'banter': 0, 'hopeful': 13.1, 'humorous': 0, 'teaching': 14.4, 'combative': 0, 'informing': 26.9, 'announcing': 27.1, 'supportive': 17.1, 'provocative': 1.2, 'devils_advocate': 0}",54,False,False,,,154,https://digg.com/u/x/dryangsong,https://x.com/DrYangSong
231,TheGregYang,thegregyang,Greg Yang,Researcher,tech,228,3.008,228,95334,"xai cofounder.
fighting lyme",1092693586263457792,https://github.com/thegregyang,114,-117,43,8.5,"{'troll': 0.2, 'banter': 4.2, 'hopeful': 13.7, 'humorous': 16.3, 'teaching': 12.5, 'combative': 0, 'informing': 27, 'announcing': 15.6, 'supportive': 7.2, 'provocative': 3.3, 'devils_advocate': 0}",179,False,False,,,77,https://digg.com/u/x/thegregyang,https://x.com/TheGregYang
232,RishiBommasani,rishibommasani,rishi,Policy,ai,227,2.995,227,7683,"Economic impacts of AI; AI policy & governance @StanfordHAI

Previous: Stanford CS PhD w/ @percyliang @jurafsky, Cornell CS",895659037198393344,https://github.com/rishibommasani,236,4,3,8,"{'troll': 0.2, 'banter': 1.8, 'hopeful': 11.8, 'humorous': 7.9, 'teaching': 17, 'combative': 0.4, 'informing': 24.4, 'announcing': 4.7, 'supportive': 15.3, 'provocative': 11.9, 'devils_advocate': 4.8}",200,False,False,,,155,https://digg.com/u/x/rishibommasani,https://x.com/RishiBommasani
